No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
21857,SNORD12B,-0.084792082,0.646907467,1.229,0.0001356
21858,HNRNPA1P7,0.05678852,0.646940817,0.8954,0.1418
21859,PROB1,0.036602785,0.647009105,0.9735,0.7041
21860,B3GNT3,0.095469597,0.64711454,0.9716,0.3251
21861,ERMARD,0.025714194,0.64722796,1.005,0.9648
21862,SCYL3,0.019592473,0.647374729,1.02,0.8622
21863,RP11-20I23.13,0.124109522,0.647398023,0,0
21864,CTD-2600O9.2,-0.076609738,0.647460173,0,0
21865,LINC00638,0.045859742,0.647521124,0.9384,0.3968
21866,RP11-11N7.5,0.056917712,0.647619844,0,0
21867,THAP4,-0.03090677,0.647647817,0.9642,0.7216
21868,RNH1,-0.023828892,0.647677616,0.9925,0.9456
21869,RP5-1096D14.6,-0.079095416,0.647812823,0,0
21870,MGEA5,0.024126508,0.647835601,0.9452,0.5682
21871,HAUS1,-0.029155278,0.647842026,1.131,0.3118
21872,CTB-33O18.3,-0.049177426,0.647847807,0,0
21873,RP11-529K1.2,-0.041509673,0.647988701,0,0
21874,RP11-162D16.2,-0.060983522,0.648064263,0,0
21875,RP11-242C19.2,0.07826735,0.648082725,0,0
21876,Sep-04,0.049019204,0.648106193,0,0
21877,ADHFE1,-0.050558469,0.648204442,0.9335,0.2704
21878,PPHLN1,-0.016669627,0.648213521,1.122,0.4364
21879,TAGAP,-0.053749038,0.648249879,0.9564,0.4119
21880,MED17,0.019412808,0.648271337,0.8554,0.1113
21881,RPL29P33,0.076743183,0.648321039,0.9914,0.9105
21882,CCDC113,-0.068699782,0.648348857,1.137,0.008848
21883,HIF3A,0.079359852,0.648433794,0.984,0.7397
21884,RP11-33E12.2,0.049264491,0.648435627,0,0
21885,SIGLEC12,-0.095901933,0.648479918,1.088,0.01486
21886,RP11-39K24.4,0.082364076,0.648596048,0,0
21887,CTC-513N18.6,0.067316453,0.64859852,0,0
21888,DPP7,0.045204473,0.648663358,1.113,0.245
21889,RP11-229O3.1,-0.1052431,0.648766638,0,0
21890,C6orf99,0.06178,0.648827505,1.01,0.8865
21891,SLC35D1,0.03886578,0.648828829,0.8981,0.1393
21892,RP11-661O13.1,0.063107342,0.648913358,0,0
21893,PIP5K1A,-0.02088483,0.648924978,1.276,0.03876
21894,LINC01578,0.028156818,0.649022842,1.161,0.2544
21895,DDX17,0.030983262,0.649104369,1.038,0.689
21896,UBLCP1,-0.024329492,0.64910931,0.9244,0.4778
21897,CTF1,-0.057633861,0.649109922,0.9796,0.7023
21898,RP11-520D19.2,0.091688623,0.649194023,0,0
21899,PROX1,0.094176735,0.649213625,1.06,0.03953
21900,TOLLIP-AS1,-0.044565189,0.649233273,0.981,0.7916
21901,UGT1A3,0.119839406,0.649279429,0.9735,0.4093
21902,RP11-562A8.5,-0.077839388,0.649286457,0,0
21903,AC104534.2,0.076645601,0.64933621,0,0
21904,PRKCI,0.031158765,0.649355939,0.9442,0.5303
21905,RP11-154H23.4,0.088519398,0.649751823,0,0
21906,XYLT2,-0.028705665,0.649836946,1.261,0.05547
21907,RP11-592N21.1,0.06195496,0.649879703,0,0
21908,RP11-168K11.3,-0.074208531,0.649977203,0,0
21909,PI4K2B,-0.0287028,0.650080138,0.9628,0.7152
21910,RP11-310E22.4,-0.103971448,0.650215704,0,0
21911,NOL3,-0.049308337,0.650352884,1.054,0.3004
21912,RP11-443B7.1,0.052702883,0.650384935,0,0
21913,AC006547.14,-0.064719779,0.650434701,0,0
21914,KCNJ8,-0.051955043,0.650479568,1.015,0.8277
21915,RP11-429J17.8,0.094372418,0.650520372,0,0
21916,TRPM1,-0.071512407,0.650549957,0.9512,0.3744
21917,RP11-215A21.2,-0.056928195,0.650583396,0,0
21918,SLC8A1-AS1,-0.086765236,0.650909051,1.067,0.1859
21919,RP11-403B2.7,0.0920465,0.650920831,0,0
21920,PLCE1-AS1,0.085683141,0.650925221,1.067,0.261
21921,AC108463.1,0.04811098,0.650940607,0,0
21922,IGHV1-2,0.131064146,0.650973852,1.027,0.2822
21923,RP11-33B1.1,0.043176112,0.651084307,0,0
21924,GS1-124K5.6,0.068491146,0.651102476,0,0
21925,RP11-834C11.14,-0.062647066,0.65114734,0,0
21926,FAM45A,0.029222748,0.651245733,0.963,0.7271
21927,TOR1AIP2,-0.022373681,0.651342914,1.021,0.865
21928,NRCAM,-0.073748325,0.651404622,0.9444,0.2095
21929,RNASEH2B-AS1,0.06484075,0.651411396,1.122,0.08122
21930,M6PR,0.033149495,0.651470354,0.8843,0.07255
21931,RP11-160H22.5,-0.060305624,0.651473414,0,0
21932,C20orf197,0.060776711,0.651867193,1.096,0.07056
21933,ENO3,-0.062975693,0.651986639,1.273,0.000122
21934,CABYR,-0.054868114,0.652077835,1.307,0.0001595
21935,AC090154.1,-0.075462889,0.652124056,0,0
21936,WI2-1528O10.1,-0.048959527,0.652345024,0,0
21937,Y_RNA,0.075895453,0.652509067,0,0
21938,CDPF1,-0.027461162,0.652669691,1.113,0.4019
21939,C17orf47,-0.098932425,0.652701313,1.326,0.00000134
21940,AC097721.2,-0.046868533,0.65297184,0,0
21941,RP3-508I15.10,0.069606559,0.653102191,0,0
21942,SLPI,-0.149014619,0.653204029,1.116,4.28E-08
21943,RP11-380J14.1,-0.119102395,0.653239305,0,0
21944,AC009542.2,0.062467072,0.653251307,0,0
21945,TNKS2-AS1,-0.056753114,0.653281712,1.06,0.2956
21946,AC007036.6,0.083550355,0.653481902,0,0
21947,HOXC-AS1,0.056984016,0.653505306,0.992,0.9022
21948,CERKL,0.040239557,0.653547706,0.9412,0.3861
21949,HMGA1P4,-0.080519192,0.653738403,1.23,0.0006244
21950,RP11-696N14.1,0.05413818,0.653768329,0,0
21951,RP1-142L7.9,-0.103498475,0.653770108,0,0
21952,GLMP,-0.034665713,0.653876099,1.104,0.3178
21953,NOMO3,-0.065724678,0.653885291,0.9355,0.1253
21954,CIRBP-AS1,0.042147095,0.654146857,1.238,0.01413
21955,RP11-439H8.4,-0.087107634,0.654207775,0,0
21956,MLIP,-0.071441176,0.654254396,0.8977,0.01428
21957,RP11-362K14.5,0.064525265,0.654268766,0,0
21958,DHRS7B,0.030337946,0.65431808,1.022,0.8475
21959,HHIP,0.114435847,0.654337907,1.021,0.4795
21960,RASSF2,-0.046886408,0.654401134,0.9842,0.7682
21961,COX6A2,0.082168592,0.654616647,0.8851,0.002381
21962,RP11-575F12.3,-0.084027774,0.654732342,0,0
21963,DNALI1,0.050943431,0.654929162,0.8666,0.01571
21964,CRELD1,0.026028664,0.654989558,1.251,0.07082
21965,ADAT2,-0.04201877,0.654989719,1.323,0.0009181
21966,IGHD,-0.124854852,0.65506366,1.011,0.6997
21967,DISP2,0.072419913,0.655073624,1.217,0.0001405
21968,FAM135B,0.101081513,0.655224878,0.9279,0.01834
21969,RP11-285G1.9,-0.087692155,0.655365766,0,0
21970,SIRT4,0.038739862,0.65542937,0.8504,0.05047
21971,CCDC159,-0.037416231,0.655551937,1.239,0.07477
21972,KRT18P11,-0.06974055,0.655603703,1.087,0.2102
21973,AC073342.12,0.076103629,0.655658958,0,0
21974,RP11-649E7.7,-0.07654707,0.655725233,0,0
21975,ELMO3,0.053531587,0.65581675,0.9654,0.5358
21976,RP1-266L20.9,-0.060798253,0.65606184,0,0
21977,FES,-0.033782961,0.65606655,1.117,0.229
21978,RP11-887P2.3,0.055924711,0.656155898,0,0
21979,CCDC13-AS1,-0.071556016,0.656299424,1.088,0.07884
21980,LINC00854,0.061056037,0.65654296,0.9989,0.9835
21981,NBPF10,0.038348271,0.656588588,1.049,0.5027
21982,FLCN,0.030139819,0.656628143,1.037,0.6933
21983,AC005740.6,0.050129806,0.656668167,0,0
21984,C10orf128,-0.047151616,0.656744042,1.119,0.08496
21985,SDHDP6,0.068390483,0.656926468,0.9728,0.6101
21986,RPS4XP16,-0.047334205,0.656983549,0.9991,0.9898
21987,RP11-505E24.3,0.058773943,0.657249527,0,0
21988,SLC6A20,0.140145679,0.657398692,1.015,0.5144
21989,CTC-428G20.2,0.065728034,0.657425352,0,0
21990,ADCY6,0.028794198,0.657484828,0.9572,0.5812
21991,TAS2R12,0.071960064,0.657486192,1.082,0.1945
21992,MAN2C1,-0.040371798,0.6575098,1.2,0.03154
21993,AC007566.10,-0.061302062,0.657555442,0,0
21994,STEAP1B,-0.072300104,0.657688429,1.245,0.0000161
21995,PLXDC1,-0.055245655,0.65790969,1.089,0.103
21996,TP53RK,-0.026052988,0.657916078,1.142,0.2859
21997,SOX11,-0.092027444,0.657961547,1.052,0.08675
21998,AC002064.5,0.079909577,0.658237264,0,0
21999,RP11-481H12.1,-0.092909072,0.658329318,0,0
22000,SRPX,-0.070892632,0.658642925,1.213,0.0001643
22001,RP11-963H4.3,-0.066778802,0.658662307,0,0
22002,ACSM2B,0.092281805,0.658667956,0.9389,0.004053
22003,LINC01159,0.062431605,0.658682471,0.9239,0.08873
22004,HOMER2,0.075982837,0.658819982,1.049,0.3243
22005,IGHV5-78,0.092388122,0.658843942,1.034,0.5062
22006,DYNC1LI1,0.020122917,0.658863714,0.8512,0.1908
22007,BZW1,0.024940166,0.658882136,0.9231,0.4493
22008,RP11-449J21.5,-0.083717062,0.659021488,0,0
22009,CSNK2A1,0.022915346,0.659098487,0.9583,0.6928
22010,RP11-60A24.3,0.082875997,0.65914274,0,0
22011,CTB-33G10.1,-0.048400908,0.659252171,0,0
22012,AC010547.9,-0.071578222,0.659255932,0,0
22013,PPCDC,0.030215626,0.659418328,0.9828,0.8931
22014,RP11-252A24.3,-0.045239221,0.659424772,0,0
22015,MIS18BP1,-0.036324262,0.659432744,0.9179,0.2896
22016,AC034220.3,0.051305864,0.659744227,0,0
22017,PBLD,0.057472608,0.659792821,0.8256,0.000014
22018,HSF2BP,-0.05575311,0.660163391,1.197,0.01524
22019,CHST15,0.05426363,0.660165865,1.081,0.1623
22020,C15orf52,-0.05350014,0.660324629,1.253,0.001498
22021,EIF4G3,0.021099572,0.66035406,1.037,0.7201
22022,AC091633.3,0.053110017,0.660401751,0,0
22023,PEA15,-0.025527603,0.660409611,1.004,0.964
22024,RP11-157L3.9,-0.075681364,0.660604667,0,0
22025,RP13-644M16.5,-0.092513102,0.660687488,0,0
22026,TPMTP1,0.066540928,0.660690852,0.9094,0.09578
22027,ORC2,0.022237509,0.660875443,1.026,0.815
22028,NACAP1,0.050438229,0.660893765,0.9215,0.3044
22029,RP11-18C24.8,0.046942467,0.66091604,0,0
22030,LINC00852,-0.041854809,0.661294132,1.053,0.5485
22031,RPS18P12,-0.058637017,0.661422125,0.9277,0.2374
22032,HMGB1P8,0.063601709,0.661674756,1.157,0.0666
22033,EIF1P3,-0.05818764,0.661728744,0.8961,0.1419
22034,RING1,0.024285418,0.661784865,1.046,0.6942
22035,RP11-90B9.2,0.069287737,0.661951263,0,0
22036,RP11-423P10.2,0.052132114,0.662011288,0,0
22037,RASSF8,0.036608597,0.662059992,0.9054,0.1008
22038,DSEL,0.063695735,0.662098674,0.8563,0.002408
22039,GPR176,0.043208113,0.662120291,1.003,0.9652
22040,CTNNAL1,0.044080316,0.66217311,0.9523,0.4565
22041,COX6B2,-0.09863192,0.662350128,1.293,2.16E-08
22042,PLEKHH2,0.063428389,0.662422175,0.9442,0.2155
22043,RP11-510N19.5,0.105592271,0.662580055,0,0
22044,TTLL1,0.024928554,0.662660044,1.004,0.9681
22045,RPAIN,0.02447953,0.662864193,1.075,0.5149
22046,RP11-724N1.1,0.080711668,0.662936054,0,0
22047,RTCA-AS1,0.040737005,0.662949263,0.8973,0.08781
22048,FAM155B,0.098916955,0.662956447,1.107,0.007542
22049,SPATA1,0.05857606,0.663088584,1.417,0.0000112
22050,RP11-138H8.6,0.070633655,0.663149173,0,0
22051,SATB1-AS1,0.073391822,0.663287691,1.021,0.733
22052,RPL32P1,0.082709783,0.66340788,1.043,0.3362
22053,RP11-973H7.3,-0.033108683,0.663594406,0,0
22054,CTNNA1,0.021521789,0.663603058,0.7907,0.005521
22055,WDR1,0.023462936,0.663629691,0.9566,0.6704
22056,CYP2R1,0.026678801,0.663712299,1.286,0.04622
22057,ARNTL,-0.033562009,0.663811799,0.9647,0.6385
22058,G3BP1,-0.023652739,0.663828699,0.9298,0.4633
22059,THAP2,-0.026755637,0.663988777,0.8632,0.1325
22060,RP11-159H3.1,0.060244658,0.664087545,0,0
22061,LINC00106,-0.086726608,0.664091385,1.119,0.003854
22062,TIMM22,0.020741832,0.664170046,0.9366,0.5897
22063,EBLN2,0.058908952,0.664382981,1.107,0.1
22064,MPC2,-0.038571039,0.664423292,0.85,0.06005
22065,MAP2K3,0.033994348,0.664427518,0.9912,0.9175
22066,RP11-399E6.4,0.090655351,0.664443001,0,0
22067,RP1-232P20.1,0.074351744,0.664580062,0,0
22068,RP11-452N17.1,0.055712568,0.664744318,0,0
22069,DNLZ,-0.067929815,0.664755738,1.294,0.0000886
22070,RP11-73M18.8,0.038750505,0.664827922,0,0
22071,PTPRU,0.056084948,0.664997479,1.025,0.6607
22072,ZNF653,0.027064111,0.665093101,0.9883,0.9074
22073,LINC00969,0.065098853,0.665138143,1.063,0.2575
22074,GPR83,-0.0724855,0.665268215,1.207,0.0005505
22075,RP11-627K11.1,-0.057551791,0.66530372,0,0
22076,EFEMP2,-0.038723641,0.665352604,1.115,0.2023
22077,RP11-927P21.1,0.082876367,0.665368946,0,0
22078,RBM3,0.026965117,0.665418747,0.8408,0.05912
22079,SLC2A10,0.057754998,0.66542995,1.02,0.7467
22080,RP11-314N13.3,-0.050734825,0.665466104,0,0
22081,ORC3,0.023529675,0.665652845,0.977,0.8199
22082,NDUFA7,-0.044791181,0.665707942,1.262,0.05034
22083,WDR92,-0.032047457,0.665937753,1.396,0.009055
22084,FRAS1,0.068423779,0.665960655,0.8785,0.0003823
22085,TMEM51,-0.03378506,0.666088001,1.057,0.599
22086,RP11-439A17.10,0.084804027,0.666117581,0,0
22087,AC013275.2,0.086615678,0.666246175,0,0
22088,AC093375.1,-0.128345401,0.666335364,0,0
22089,MUM1L1,0.113042972,0.66648706,0.9057,0.0002951
22090,FAUP1,-0.059492006,0.66671034,0.9413,0.4166
22091,Metazoa_SRP,0.077469552,0.666807037,0,0
22092,RP11-1143G9.5,-0.093093483,0.666882159,0,0
22093,RP11-244J10.1,0.056724473,0.666962386,0,0
22094,ADAMTSL3,0.065252488,0.667245606,0.8732,0.001229
22095,RP2,0.027091949,0.667260116,0.9163,0.2246
22096,RP1-167F1.2,0.073605933,0.667400171,0,0
22097,RP11-285E23.2,0.08548575,0.667442737,0,0
22098,GJC2,-0.066309661,0.66752157,1.001,0.9795
22099,RN7SKP239,0.083044925,0.667531476,1.077,0.1919
22100,SNX21,-0.032279159,0.667648724,1.348,0.01246
22101,MRPS17,-0.023917499,0.667843266,1.042,0.7594
22102,SGK3,0.029445099,0.668119445,0.8261,0.0418
22103,SMARCC1,0.023476762,0.66822293,0.9018,0.2399
22104,SLC35D2,0.024543092,0.668251371,0.8517,0.07259
22105,TMEM41B,0.024103697,0.668281547,1.122,0.387
22106,TIMM8B,-0.036699746,0.668305078,0.973,0.8094
22107,ITGA2B,-0.064069238,0.668347659,1.24,2.68E-07
22108,RP11-620J15.2,-0.104016132,0.668383242,0,0
22109,RP11-763E3.1,-0.071306168,0.668466844,0,0
22110,FCAR,0.080323159,0.668470693,1.217,0.000092
22111,ESRRA,0.038311109,0.668580989,0.9359,0.4059
22112,ZRSR1,0.064600924,0.668585988,1.029,0.6772
22113,CYP2D6,0.071152525,0.668633305,1.115,0.02232
22114,INTS10,0.021686517,0.668635235,1.1,0.4557
22115,BST1,-0.042233826,0.668761519,0.8763,0.01961
22116,PMVK,0.035650143,0.668831417,0.8797,0.205
22117,AL135745.1,-0.073485553,0.668998053,0,0
22118,RP11-412D9.4,-0.037381708,0.669102196,0,0
22119,WDR26,-0.018498793,0.669161358,1.069,0.5616
22120,RP11-80H5.7,0.059400304,0.669223563,0,0
22121,PERM1,-0.094219517,0.669248486,1.067,0.05549
22122,DNAJB1,0.034413257,0.669298184,0.8793,0.1674
22123,CD177,0.103209352,0.669377814,1.057,0.1141
22124,C12orf56,0.13782425,0.669406499,1.024,0.316
22125,CTD-2619J13.19,-0.047754014,0.669417932,0,0
22126,TMEM2,0.033272455,0.669418949,1.009,0.9057
22127,GALT,0.028098499,0.669512711,0.8938,0.2904
22128,SCG2,0.100393063,0.669616242,1.078,0.01834
22129,PRMT2,0.018118354,0.669660106,0.9322,0.5219
22130,MCTP1,0.044293096,0.66971825,1.074,0.2915
22131,RP11-91K11.2,0.078705721,0.669833967,0,0
22132,CTD-2215E18.1,-0.08542749,0.670115732,0,0
22133,PCSK9,-0.127466317,0.670169366,1.103,0.003192
22134,RND1,-0.059377648,0.670264226,1.054,0.4075
22135,GPR89B,-0.035677303,0.670375811,0.9284,0.4023
22136,HAPLN1,-0.077197264,0.670382124,0.999,0.9719
22137,ID2,-0.036370181,0.670409955,0.8506,0.02041
22138,B3GALTL,-0.028693423,0.670542136,0.8276,0.05079
22139,MCF2L2,-0.059512457,0.670674996,1.295,0.0001153
22140,IFT172,-0.025850652,0.670701311,1.152,0.1874
22141,CTD-3193K9.3,-0.083704612,0.67087744,0,0
22142,SNX11,-0.021353479,0.670905906,0.9825,0.8864
22143,RP11-335O4.3,-0.05717403,0.671031037,0,0
22144,IBA57-AS1,-0.065282986,0.671049816,1.224,0.000848
22145,QSER1,0.030468982,0.671052898,0.9151,0.2701
22146,EEF1A1P10,0.052631878,0.671274372,0.7598,0.0000364
22147,THOC2,-0.019248069,0.67137507,0.9801,0.8548
22148,PARVB,-0.049057376,0.671434077,1.114,0.1755
22149,PCSK1,-0.080696598,0.67152131,1.123,0.008532
22150,SNAP23,-0.018667064,0.671568698,0.909,0.3838
22151,RP11-57K17.1,-0.06683981,0.671688524,0,0
22152,RP11-1082L8.3,-0.053213951,0.671741485,0,0
22153,MRPS21,-0.031110684,0.671820958,1.096,0.4474
22154,RP11-379K17.4,0.060638425,0.67189744,0,0
22155,SENP3-EIF4A1,-0.070276982,0.671903804,1.131,0.03655
22156,DPEP2,-0.041537863,0.671965681,0.9955,0.9382
22157,LINC01023,-0.045282672,0.672146333,1.018,0.8235
22158,CTC-559E9.6,0.026136334,0.672170862,0,0
22159,C12orf54,-0.062224762,0.672209865,1.049,0.5134
22160,RNU4-62P,-0.098203747,0.672288042,1.208,0.000019
22161,RP11-977G19.11,-0.04125329,0.672302065,0,0
22162,NLGN2,-0.03969961,0.672302678,1.484,0.00000895
22163,TMEM199,0.016204443,0.672345602,0.9619,0.7644
22164,RNU6-658P,-0.073588173,0.672375397,1.092,0.1789
22165,AC068039.4,0.075770901,0.672550959,0,0
22166,MTFP1,-0.044346594,0.672601674,0.9367,0.3569
22167,RPL24P8,-0.062827355,0.672662938,1.04,0.5897
22168,RP11-493E3.1,0.071469517,0.672703715,0,0
22169,RMI1,0.028535461,0.672814445,0.8641,0.1058
22170,YWHAQ,0.023694598,0.672820676,0.9169,0.3863
22171,CTD-3099C6.9,-0.052444044,0.672879329,0,0
22172,CHCHD2,-0.034517668,0.672904249,1.042,0.7119
22173,SHQ1,0.024266903,0.6729949,0.8986,0.3284
22174,RP5-855D21.3,-0.05800309,0.673059254,0,0
22175,RP11-353N14.4,-0.073397181,0.673270856,0,0
22176,ADSL,-0.019622078,0.673274778,0.9317,0.5647
22177,ARHGEF33,0.047041009,0.673386494,0.9968,0.9642
22178,RP11-755F10.3,0.074369729,0.673390275,0,0
22179,TSSK1A,-0.061096545,0.673539655,0.915,0.2319
22180,GLIS1,0.06370331,0.673585869,0.95,0.1194
22181,SSUH2,0.066094442,0.673658629,0.9851,0.7652
22182,RP11-469A15.2,0.100516344,0.673709982,0,0
22183,AP000577.2,-0.094297573,0.673821517,0,0
22184,NFRKB,0.018188511,0.67383553,0.9154,0.3858
22185,KLK10,-0.123794589,0.673923093,1.147,0.00000905
22186,CHRM5,0.067574138,0.673977384,1.17,0.008226
22187,RP11-214F16.8,0.058194903,0.674011863,0,0
22188,CCDC108,-0.106550653,0.674067015,1.04,0.2561
22189,TRMT61A,-0.033831776,0.674212645,1.207,0.1059
22190,PCDHB14,-0.047748204,0.674227378,1.009,0.8772
22191,GPR180,-0.025465066,0.674310335,1.037,0.7272
22192,C18orf65,0.050301226,0.674378233,1.027,0.7029
22193,GSTA2,0.099320805,0.674378939,0.9421,0.002488
22194,BEND5,0.044430721,0.674596809,0.7927,0.0001667
22195,AC010136.2,0.059475709,0.674725481,0,0
22196,NLRP11,-0.074699382,0.674741463,0.8968,0.00803
22197,CBX3P4,-0.083112023,0.674779962,1.276,0.000055
22198,RP11-79L9.2,0.071131033,0.674840592,0,0
22199,AC005224.2,0.048544354,0.674859182,0,0
22200,AC026904.1,0.090611665,0.674931758,0,0
22201,ZNF48,0.022475063,0.674934157,0.9536,0.6754
22202,SPPL3,-0.017406477,0.675066418,1.113,0.4513
22203,THPO,-0.097928311,0.675085084,1.039,0.2426
22204,AC005154.7,-0.061611421,0.675276309,0,0
22205,MPP6,0.051689122,0.675419776,0.8981,0.045
22206,CAPN2,0.024793827,0.675556988,0.9136,0.3282
22207,AC004471.10,-0.054957721,0.675648854,0,0
22208,LLNLR-304A6.1,0.088291845,0.675669993,0,0
22209,MPHOSPH9,-0.033693126,0.675699058,1.009,0.9135
22210,TRIM52-AS1,-0.03396949,0.675750069,0.9476,0.5854
22211,CTA-276F8.1,-0.059626521,0.675817519,0,0
22212,MKNK1,-0.021558711,0.67588949,1.242,0.06399
22213,ATP1A3,0.085526047,0.676097745,1.192,0.00000702
22214,FAT2,-0.057619622,0.676350629,1.116,0.0144
22215,POGLUT1,-0.019628818,0.676533859,1.223,0.1121
22216,AHCY,-0.033817494,0.676546906,0.9213,0.3464
22217,AVPI1,-0.037623342,0.676752606,1.046,0.5784
22218,AP000445.1,0.074953262,0.67677451,0,0
22219,OMA1,0.025549054,0.676826521,1.005,0.9537
22220,RAB2B,0.022946889,0.676863393,1.124,0.3086
22221,ANP32AP1,0.064857887,0.676870379,1.305,0.0005048
22222,RP11-848P1.2,-0.04541013,0.676901573,0,0
22223,RP11-330M2.4,0.062832147,0.676902138,0,0
22224,RP11-490B18.5,0.075172329,0.676905349,0,0
22225,FOXF1,0.053298494,0.677091576,0.9392,0.2811
22226,ATP5C1,0.02893447,0.677091924,0.94,0.5648
22227,AC015987.1,-0.069518278,0.677157264,0,0
22228,GRAMD3,0.027691239,0.677179146,0.7764,0.006662
22229,MIR503HG,-0.070708789,0.677191392,1.172,0.002561
22230,LYPLA2,-0.027887466,0.677251593,1.094,0.4392
22231,ZNF646,-0.020112094,0.677263129,0.9583,0.6633
22232,IL7,-0.037071931,0.677426326,1.025,0.7283
22233,AS3MT,0.054466914,0.677449133,0.819,0.0000462
22234,WDFY4,-0.053286111,0.677496455,0.9494,0.2578
22235,FIGNL2,-0.051058101,0.677527452,0.9878,0.8133
22236,TLE3,0.021546367,0.677638949,1.04,0.7303
22237,MT-CO3,0.055970493,0.677846039,0,0
22238,ATG5,-0.023090396,0.677953307,0.9866,0.9007
22239,FAM171A2,0.058829172,0.678089079,1.16,0.006413
22240,DCAF17,-0.023292927,0.678189999,1.044,0.6519
22241,RP1-197B17.4,-0.048497843,0.678372973,0,0
22242,LINC01186,-0.054463859,0.678484094,0.9531,0.4051
22243,CD22,0.063759756,0.678484432,0.9641,0.5172
22244,RP11-169K16.4,-0.071199663,0.678523251,0,0
22245,INAFM2,0.032022241,0.678630222,1.573,0.0000175
22246,SH3BP5-AS1,-0.05454949,0.678641624,1.175,0.007494
22247,AC023137.2,0.086420166,0.678735618,0,0
22248,RTKN,0.031665457,0.678951455,0.8496,0.05915
22249,RP11-996F15.6,-0.028939141,0.679057989,0,0
22250,RP11-693N9.2,0.048411324,0.67917778,0,0
22251,ZCCHC7,0.022886668,0.679208109,0.8888,0.2976
22252,RNF121,0.020459656,0.679234389,0.8104,0.02841
22253,SNTA1,0.045722425,0.679533394,0.9533,0.5421
22254,COX20P1,-0.103958874,0.679536927,1.015,0.6524
22255,RP4-798A10.2,0.048968165,0.679561538,0,0
22256,PPP1R37,-0.03137212,0.679642533,1.049,0.6208
22257,OR7D2,-0.113767981,0.679696203,1.063,0.1377
22258,FDXACB1,0.022953535,0.679813597,1.011,0.9354
22259,RP11-7O11.3,-0.047127885,0.679895254,0,0
22260,FBXW7,0.023171136,0.679903844,1.087,0.5018
22261,FOXO6,-0.061276,0.680070746,1.217,0.0005997
22262,ANKRD49,-0.023817079,0.680225388,1.113,0.3803
22263,DNAH10,-0.046492544,0.680487433,1.03,0.6319
22264,FAM86KP,-0.059434385,0.680504147,1.081,0.2843
22265,TUFM,-0.027851646,0.680569813,1.076,0.5097
22266,POLR2J4,0.036815109,0.680801359,0.9598,0.6694
22267,GS1-166A23.1,0.060044386,0.681101224,0,0
22268,RFT1,0.022591253,0.681103583,1.067,0.5919
22269,GATM,0.061763689,0.681111424,0.8634,0.0000195
22270,MSN,0.02338003,0.681126887,0.9348,0.4096
22271,SMCHD1,0.028683532,0.681239378,0.9326,0.4216
22272,TRIM22,-0.035794485,0.681405107,0.9839,0.7994
22273,RP11-342K6.1,-0.022523702,0.681517548,0,0
22274,MLX,0.020072386,0.681551146,0.937,0.5378
22275,FAIM,-0.030968395,0.68162745,0.9041,0.2818
22276,TMEM9,-0.029864937,0.681825826,1.109,0.3517
22277,DCAF4,0.024995109,0.681896292,0.98,0.8511
22278,RP11-565F19.2,0.032638025,0.681944659,0,0
22279,SYT11,0.038718527,0.682064003,0.884,0.0528
22280,PMF1,-0.030868478,0.682132711,1.139,0.3091
22281,COX8A,-0.036579824,0.682247026,1.001,0.9927
22282,ALKBH3,-0.020086722,0.682421271,1.135,0.34
22283,ANKRD20A5P,-0.080645269,0.682566563,1.157,0.002518
22284,TTYH1,0.075997876,0.682590972,1.298,5.04E-08
22285,AC062029.1,-0.02806496,0.682598441,0,0
22286,CA12,0.052220912,0.682604191,0.9133,0.1183
22287,CTD-2248H3.1,0.061560869,0.682644514,0,0
